,InVehicle_Longitudinal_Speed,GPS_Speed,InVehicle_Longitudinal_Accel
133,5.270131792,1.582528722,-1.155218934
134,5.37539495,1.608834988,-1.049955776
135,5.480658108,1.655800568,-0.944692618
136,5.585921266,1.710902556,-0.83942946
137,5.691184424,1.796793441,-0.734166302
138,5.796447582,1.87502948,-0.628903144
139,5.90171074,1.977388297,-0.523639986
140,6.006973897,2.108736816,-0.418376828
141,6.112237055,2.250414888,-0.313113671
142,6.217500213,2.381028423,-0.207850513
143,6.322763371,2.520365157,-0.102587355
144,6.428026529,2.652046546,0.002675803
145,6.533289687,2.788691681,0.107938961
146,6.638552845,2.917298011,0.213202119
147,6.743816003,3.039343238,0.318465277
148,1.616257181,3.154933561,0.423728435
149,1.647135717,3.259288,0.528991593
150,1.689933941,3.372101722,0.63425475
151,1.748935803,3.467626873,0.739517908
152,1.820514555,3.575662646,0.844781066
153,1.90277319,3.691440618,0.950044224
154,1.996578669,3.822309793,1.055307382
155,2.101813248,3.946700575,1.16057054
156,2.216890272,4.077747255,1.32652226
157,2.341401955,4.213096259,1.385815535
158,2.472048971,4.349919504,1.366197997
159,2.60492261,4.484208888,1.351880259
160,2.737920348,4.599156334,1.304743333
161,2.872509647,4.741081189,1.249376619
162,3.006009326,4.876317555,1.214208597
163,3.138713481,5.00694982,1.219987617
164,3.270837299,5.13866453,1.250410552
165,3.401036573,5.270891534,1.235927328
166,3.533583431,5.397522792,1.225356837
167,3.667093163,5.528538615,1.165231725
168,3.796802951,5.644151259,1.179001121
169,3.926741348,5.766847496,1.230978874
170,4.054595113,5.895130229,1.216504208
171,4.183929127,6.02193717,1.195457902
172,4.312842774,6.160161469,1.227266661
173,4.439198407,6.293113589,1.260964148
174,4.568940008,6.452204911,1.269834957
175,4.702653553,6.605800899,1.276309262
176,4.836264291,6.772601045,1.270552433
177,4.968299279,6.91210943,1.282073938
178,5.096182509,7.060714682,1.269518715
179,5.222536323,7.215681234,1.213186089
180,5.344772196,7.348218998,1.187795163
181,5.46100091,7.511728074,1.122094479
182,5.582600947,7.664799914,1.14751767
183,5.701367305,7.770063072,1.139867476
184,5.823318708,7.87532623,1.202417425
185,5.946093709,7.980589388,1.253310148
186,6.073222007,8.085852546,1.269489764
187,6.205028249,8.191115703,1.349431752
188,6.334995743,8.296378861,1.381571763
189,6.468874154,8.401642019,1.384064829
190,6.604856702,8.506905177,1.469740865
191,6.746877633,8.612168335,1.474619653
192,6.891054159,8.717431493,1.493903497
193,7.037554156,8.822694651,1.429362233
194,7.181997996,8.927957809,1.403221315
195,7.322689949,9.033220967,1.415588711
196,7.460643341,9.138484125,1.393168795
197,7.601100976,9.243747282,1.429216064
198,7.744886763,9.34901044,1.293052993
199,7.885848665,9.454273598,1.251326558
200,8.020247149,9.559536756,1.084605985
201,8.149104868,9.664799914,1.565644519
202,8.276170176,9.878031005,1.424070637
203,8.406429458,9.93118721,1.299779696
204,8.535267912,9.984004584,1.429190007
205,8.660067679,10.03532546,1.329721189
206,8.780419116,10.08347177,1.215196247
207,8.898273922,10.14332278,1.178780203
208,9.01505761,10.19325203,1.120755997
209,9.128057305,10.2628729,1.251361398
210,9.236794828,10.3100757,1.430539426
211,9.337168443,10.34841365,1.351670177
212,9.437440854,10.40652056,1.14211806
213,9.53163626,10.46045251,0.99965981
214,9.621396401,10.5078664,0.853759298
215,9.704917517,10.5838426,0.778720898
216,9.779382966,10.63887704,0.661062222
217,9.846488427,10.69292637,0.543743585
218,9.909723236,10.76166725,0.416191063
219,9.974635496,10.80017552,0.234000128
220,10.03476862,10.85326999,0.279224243
221,10.08916252,10.89826802,0.2807846
222,10.14311987,10.9336085,0.329092691
223,10.19525762,10.97023047,0.081334404
224,10.25357175,11.0076486,0.104909747
225,10.31114049,11.02371274,0.326516254
226,10.36891596,11.05515089,0.231443892
227,10.42233963,11.05157945,0.303563743
228,10.47408788,11.05285987,0.329994815
229,10.52611433,11.05976429,0.3545264
230,10.58059475,11.06702466,0.382912686
231,10.63311454,11.06260554,0.351219935
232,10.68420309,11.07728919,0.343812269
233,10.73499757,11.07967624,0.406539227
234,10.78932961,11.09516261,0.452320108
235,10.84099061,11.09313762,0.265609717
236,10.88770018,11.08610637,0.291812245
237,10.92629357,11.08333474,0.122258898
238,10.95971363,11.07534224,0.08236793
239,11.06497679,11.07492343,0.068976845
240,11.17023995,11.05518138,0.00155211
241,11.2755031,11.05493354,0.030958044
242,11.38076626,11.06391555,0.015732568
243,11.48602942,11.06241874,0.00986138
244,11.59129258,11.04216763,0.00557633
245,11.69655574,11.03766098,0.039136126
246,11.80181889,12.47140405,0.22610148
247,11.90708205,13.52045032,0.205326068
248,12.01234521,14.29205987,0.258296659
249,12.11760837,14.84799519,0.323162068
250,12.22287152,15.2695677,0.454360172
251,12.32813468,15.57322363,0.429570591
252,12.43339784,15.67848679,0.448165284
253,12.538661,15.78374995,0.435531352
254,12.64392416,15.8890131,0.337213036
255,12.74918731,15.99427626,0.312625299
256,12.85445047,16.09953942,0.257992878
257,12.95971363,16.20480258,0.223360776
258,13.06497679,16.31006574,0.056576927
259,13.17023995,16.41532889,0.081599626
260,13.2755031,16.52059205,0.073657134
261,13.38076626,16.62585521,0.41376837
262,13.48602942,16.73111837,0.572898924
263,13.59129258,16.83638152,0.322167234
264,13.69655574,16.94164468,0.128690207
265,13.80181889,17.04690784,0.223328574
266,13.90708205,17.152171,0.297640828
267,14.01234521,17.25743416,0.18940522
268,14.11760837,17.36269731,0.199507652
269,14.22287152,17.46796047,0.138747453
270,14.32813468,17.57322363,0.146812304
271,14.43339784,17.67848679,0.273242087
272,14.538661,17.78374995,0.255454438
273,14.64392416,17.8890131,0.31060563
274,14.74918731,17.99427626,0.366580476
275,14.85445047,18.09953942,0.339299973
276,14.95971363,18.20480258,0.466138322
277,16.54808355,18.31006574,0.474854015
278,16.56586157,18.41532889,0.517902322
279,16.58333917,18.52059205,0.402572008
280,16.602849,18.62585521,0.423219505
281,16.62309153,18.73111837,0.433047922
282,16.64536955,18.83638152,0.22533888
283,16.67063468,16.86014743,0.257179793
284,16.69582791,16.86654245,0.359034144
285,16.72021872,16.87815148,0.265658933
286,16.74402307,16.88579137,0.286607134
287,16.76740021,16.90191825,0.134183072
288,16.79121604,16.90133248,0.143481019
289,16.81610201,16.9125668,-0.017445909
290,16.84251977,16.92451451,-0.003871664
291,16.86630304,16.92837544,0.619235983
292,16.88966479,16.93688525,0.691412002
293,16.90671521,16.9357381,0.508242848
294,16.91915936,16.95350408,0.447932406
295,16.93049286,16.96758109,0.734100126
296,16.94326696,16.97369011,0.707111487
297,16.95859374,16.97509462,0.655967813
298,16.97203111,16.98750381,0.608158859
299,16.98408951,16.99933724,0.447481058
300,16.99664272,17.01102792,0.408826822
301,17.00655483,17.02386414,0.469712786
302,17.0152901,17.02351425,0.262580564
303,17.0239167,17.02450836,0.158575673
304,17.03696668,17.04133845,0.433817394
305,17.05174431,17.03723979,0.582290549
306,17.06478089,17.0370248,0.370949898
307,17.07204434,17.04478131,0.337247938
308,17.07359332,17.05460735,0.317891802
309,17.07847604,17.04678515,0.455754732
310,17.08504109,17.06051229,0.388660158
311,17.09208404,17.05859167,0.308245418
312,17.09722429,17.0664914,0.286242432
313,17.10022565,17.06656504,0.238737507
314,17.10241617,17.06134318,0.314127973
315,17.10476513,17.16660634,0.091376619
316,17.11023171,17.2718695,0.086033843
317,17.11572244,17.37713265,-0.279496655
318,17.11972982,17.48239581,-0.016932736
319,17.12115359,17.58765897,-0.239343502
320,17.12219272,17.69292213,0.043818976
321,17.12445211,17.79818529,-0.022050235
322,17.12685134,17.90344844,-0.012473134
323,17.13235487,18.0087116,0.088855203
324,17.13487033,18.11397476,0.110398756
325,17.13445501,18.21923792,0.314799282
326,17.13565288,18.32450107,0.327712943
327,17.13652714,18.42976423,0.143219769
328,17.13716521,18.53502739,0.081942999
329,17.13612991,18.64029055,0.094871865
330,17.13237288,18.74555371,0.418769749
331,17.12662885,18.85081686,0.241123196
332,17.12168638,18.95608002,0.153397208
333,17.11582767,19.06134318,0.126058153
334,17.1070493,19.16660634,0.069417701
335,17.09238757,19.2718695,0.085730354
336,17.07643361,19.37713265,-0.02814869
337,17.0595368,16.59702002,-0.184637029
338,17.03970036,16.55927163,-0.262161858
339,17.01696797,16.53449759,-0.271573599
340,16.98987077,16.49128838,-0.278442699
341,16.95583628,16.46405599,-0.346348435
342,16.91598708,16.43321307,-0.636996419
343,16.88465218,16.39751353,-0.497974999
344,16.85728018,16.34966224,-0.448921385
345,16.82679678,16.3291765,-0.339745483
346,16.79629377,16.30478477,-0.317715464
347,16.76652721,16.28351192,-0.233503595
348,16.73804864,16.25590765,-0.177283116
349,16.70900883,16.23020778,-0.136250949
350,16.67880866,16.20742476,-0.122026968
351,16.6470119,16.1801069,-0.195502172
352,16.61480039,16.1572536,-0.275332746
353,16.58303613,16.13668699,-0.307391442
354,16.55159829,16.10293448,-0.225968672
355,16.52039868,16.07246965,-0.271363379
356,16.48937322,16.04579236,-0.273048241
357,16.45847458,16.03492955,-0.30572411
358,16.42841874,16.14019271,-0.361018573
359,16.39597656,16.24545587,-0.380410771
360,16.361793,16.35071902,-0.373599925
361,16.33159143,16.45598218,-0.300495674
362,16.30354532,16.56124534,-0.241899961
363,16.27482141,16.6665085,-0.178170121
364,16.24935475,16.77177166,-0.131657293
365,16.22476466,16.87703481,-0.144879469
366,16.19856284,16.98229797,-0.201698867
367,16.17118471,17.08756113,-0.143588572
368,16.1474513,17.19282429,-0.090695073
369,16.12637741,17.29808744,-0.031126959
370,16.10574331,17.4033506,-0.087231121
371,16.0809283,17.50861376,-0.133419426
372,16.05606331,17.61387692,-0.161888643
373,16.03341306,17.71914008,-0.229835998
374,16.01388021,17.82440323,-0.200811496
375,15.99437136,17.92966639,-0.127217838
376,15.97262855,18.03492955,-0.104952147
377,15.95375799,15.67870399,-0.067737549
378,15.93623323,15.65525416,-0.129674224
379,15.9189402,15.60773553,-0.174878322
380,15.90256706,15.54848148,-0.155459947
381,15.88836574,15.48760381,-0.115082414
382,15.8734983,15.39485978,-0.16422858
383,15.855143,15.30384745,-0.184374512
384,15.83724407,15.19674552,-0.162390682
385,15.82192944,15.08581384,-0.130622829
386,15.80624945,14.97083756,-0.02358077
387,15.78955259,14.85041041,0.085989394
388,15.776616,14.72072965,0.165958498
389,15.7649231,14.57166133,0.077574598
390,15.74813422,14.42871267,0.369458231
391,15.72612534,14.28203928,0.173687309
392,15.69730498,14.13528495,-0.005882097
393,15.65976084,13.96848025,-0.299411658
394,15.61134754,13.80745006,-0.503160323
395,15.5527497,13.65146698,-0.620418838
396,15.48897049,13.49139322,-0.721722328
397,15.41765722,13.30389988,-0.790417021
398,15.33634285,13.11999567,-0.892963721
399,15.24622823,12.93787778,-0.952083701
400,15.14668911,12.76928091,-1.073847509
401,15.03426817,12.5838965,-1.230849464
402,14.91469644,12.40403041,-1.125586306
403,14.78990631,12.22041728,-1.020323148
404,14.65605409,12.03226448,-0.91505999
405,14.51558823,11.83927151,-0.809796832
406,14.36954496,11.63483255,-0.704533675
407,14.21943105,11.45383179,-0.599270517
408,14.06259401,11.26689158,-0.494007359
409,13.90310134,11.08533456,-0.388744201
410,13.73491685,10.90784529,-0.283481043
411,13.57089452,10.72888239,-0.178217885
412,13.40915942,10.55995009,-0.072954727
413,13.23858781,10.39681165,0.032308431
414,13.06081643,10.23054383,0.137571589
415,12.87628935,10.07948468,0.242834747
416,12.69133437,9.932444955,0.348097904
417,12.50681731,9.764737934,0.453361062
418,12.32036892,9.614571892,0.55862422
419,12.14001508,9.471516102,0.663887378
420,11.95810565,9.346283001,0.769150536
421,11.77581189,9.227810587,-1.69237963
422,11.58648321,9.091365332,-1.703245413
423,11.39652281,8.929446847,-1.700693676
424,11.20910334,8.778924222,-1.667385123
425,11.02729028,8.625195822,-1.700726419
426,10.8480683,8.48578743,-1.698855204
427,10.67523984,8.344890854,-1.613633021
428,10.50557692,8.216374882,-1.624808567
429,10.33897485,8.079818513,-1.585795696
430,10.17910914,7.961550468,-1.394850448
431,10.02040773,7.861627934,-1.224044062
432,9.871561452,7.755102926,-1.618244103
433,9.723904481,7.675690528,-1.539076418
434,9.569611114,7.598989795,-1.884855724
435,9.414976639,7.530376656,-1.655045796
436,9.269098596,7.466972167,-1.230509953
437,9.133363309,7.375854375,-1.119824264
438,9.001278721,7.296302725,-1.363984893
439,8.867355878,7.198259328,-1.390194127
440,8.723836774,7.076585204,-1.304502163
441,8.57931731,6.932805311,-1.320575873
442,8.473840677,6.794965584,-1.196040378
443,8.359337485,6.622311293,-0.916471821
444,8.247251703,6.463814347,-0.623332928
445,8.139181194,6.276083512,-0.288843627
446,8.037793676,6.100613132,-0.291047122
447,7.945786122,5.972547165,-0.255968115
448,7.859123759,5.798141024,-0.314222408
449,7.775612055,5.640170414,-0.524451919
450,7.695900829,5.513353573,-0.641199407
451,7.618212594,5.377204413,-0.810263325
452,7.537498672,5.262843125,-0.865520178
453,7.450824003,5.158691388,-1.084044087
454,7.356797213,5.050607186,-1.254014465
455,7.250650619,4.935904481,-1.38330732
456,7.131155766,4.817204196,-1.598214609
457,6.999667559,4.6955863,-1.66072481
458,6.856424371,4.571422424,-1.706347491
459,6.703851659,4.440957931,-1.687234617
460,6.548221782,4.546221089,-1.704731388
461,6.387358945,4.651484247,-1.575993473
462,6.221175878,4.756747405,-1.466311814
463,6.056363062,4.862010563,-1.328610001
464,5.900805207,4.96727372,-1.186180945
465,5.754252971,5.072536878,-1.150363379
466,5.612022487,5.177800036,-1.150427304
467,5.474446925,5.283063194,-1.077099531
468,5.348523353,5.388326352,-1.149366445
469,5.230353689,5.49358951,-1.107771453
470,5.110338767,5.598852668,-1.229403492
471,4.991978801,5.704115826,-1.271006605
472,4.871825258,5.809378984,-1.332816562
473,4.746609946,5.914642142,-1.477507755
474,4.61544939,6.019905299,-1.562145601
475,4.476197535,6.125168457,-1.681569343
476,4.328038591,6.230431615,-1.815899294
477,4.168125675,6.335694773,-1.950626387
478,3.997382985,6.440957931,-2.080402303
479,3.812732839,1.510080788,-2.238010815
480,3.611178518,1.476409385,-2.363522469
481,3.39728652,1.470438019,-2.386992974
482,3.173639721,1.473160108,-2.288820105
483,2.94662564,1.509715456,-1.934153598
484,2.726909581,1.537505762,-1.65957936
485,2.524527031,1.60082585,-1.338639356
486,2.345301069,1.682718883,-1.088680197
487,2.189729705,1.765533951,-0.906249057
488,2.057426183,1.870797109,-0.74689767
489,1.945856481,1.976060267,-0.646319142
490,1.85167071,2.081323425,-0.557189436
491,1.7731742,2.186586583,-0.460692491
492,1.707629386,2.29184974,-0.364059643
493,1.653788229,2.397112898,-0.283050698
494,1.609990172,2.502376056,-0.176757548
495,1.57952515,2.607639214,-0.041528817
496,1.561793136,2.712902372,0.120059399
497,1.560108135,2.81816553,0.311367981
498,1.573136382,2.923428688,0.513885728
499,1.598404259,3.028691846,0.677415138
500,1.636357085,3.133955004,0.802007094
501,1.688821128,3.239218162,0.91390388
502,1.754127305,3.344481319,0.974606933
503,1.831057446,3.449744477,1.024151709
504,1.916471264,3.555007635,1.081275778
505,2.010328324,3.660270793,1.102003303
506,2.11034763,3.765533951,1.064720854
507,2.21411365,3.562819467,1.079438734
508,2.315361539,3.608070506,1.090180487
509,2.426027914,3.66816878,1.003681739
510,2.536063913,3.752430562,0.966756318
511,2.644139119,3.826562085,0.960770651
512,2.747781546,3.926619548,0.972125141
513,2.850439948,3.975350448,0.980412145
514,2.955703106,4.014387089,0.986460363
515,3.060966264,4.080639634,0.807438549
516,3.166229422,4.149124062,0.776360171
517,3.27149258,4.279212096,0.690785443
518,3.376755737,4.412750826,0.743631931
519,3.482018895,4.503410435,0.745514398
520,3.587282053,4.612198712,0.642067695
521,3.692545211,4.71172758,0.598013944
522,3.797808369,4.807275192,0.628753954
523,3.903071527,4.95128407,0.572573901
524,4.008334685,5.056547228,0.568258453
